년월,평수 범위,전용면적,거래금액,데이터 건수,평당 거래금액
201512,20평 미만,54.0,5000,1,305.55555555555554
201512,20~30평,637.837,116200,8,601.1880778317972
201512,30~40평,204.7011,44700,2,720.6116625655651
201601,20평 미만,57.15,6100,1,352.2309711286089
201601,20~30평,406.0874,67200,5,546.0893393885158
201601,30~40평,208.5772,43600,2,689.8165283645575
201602,20평 미만,110.16,9600,2,287.58169934640523
201602,20~30평,1121.2164,193100,14,568.3381013691915
201603,20평 미만,237.43,34300,4,476.72998357410603
201603,20~30평,731.183,130950,9,591.0079966301186
201603,30~40평,208.5772,44000,2,696.1451203679021
201604,20평 미만,740.22,139030,19,619.8143795087947
201604,20~30평,572.212,99100,7,571.5189475229461
201604,30~40평,224.0325,43800,2,645.174249271869
201605,20평 미만,1312.27,296740,40,746.219909012627
201605,20~30평,789.6600000000001,132550,10,553.928272927589
201605,30~40평,215.27249999999998,42900,2,657.6316064522872
201606,20평 미만,354.33,72530,11,675.4974176615019
201606,20~30평,776.6,138650,10,589.1643059490084
201606,30~40평,104.2886,21000,1,664.5021603511793
201607,20평 미만,468.45,80956,13,570.2952289465258
201607,20~30평,402.48560000000003,68200,5,559.1752847803747
201607,30~40평,204.7011,46000,2,741.56904872519
201608,20평 미만,65.53999999999999,15508,2,780.8422337503815
201608,20~30평,382.8544,77300,5,666.2846241286505
201608,30~40평,323.4372,61200,3,624.4179704746392
201609,20평 미만,142.47,19000,3,440.09265108443884
201609,20~30평,1101.4682,193935,14,581.0294841013113
201609,30~40평,230.2586,42800,2,613.397284618251
201610,20평 미만,326.64,42000,6,424.3203526818516
201610,20~30평,1034.2092,174550,13,556.9617829738896
201610,30~40평,114.86,18200,1,522.89744036218
201611,20평 미만,115.66,21300,3,607.7295521355697
201611,20~30평,610.5126,120450,8,651.0676438127566
201611,30~40평,322.8214,60400,3,617.431186408336
201612,20평 미만,185.93,38216,5,678.2810735222932
201612,20~30평,424.7626,73300,5,569.471041000314
201701,20평 미만,171.84,36608,5,703.0167597765362
201701,20~30평,481.0084,75900,6,520.7185570979633
201702,20평 미만,259.74,39350,6,499.94224994224993
201702,20~30평,811.4176,148100,10,602.3162425858152
201703,20평 미만,351.58,62400,7,585.6988452130382
201703,20~30평,461.2144,75300,6,538.7732906865007
201704,20평 미만,59.04,4500,1,251.52439024390242
201704,20~30평,406.4048,68207,5,553.8396692165053
201704,30~40평,104.2886,22000,1,696.1451203679021
201705,20평 미만,168.3,19670,3,385.68627450980387
201705,20~30평,959.7514,184900,12,635.7583849317646
201705,30~40평,103.6728,21000,1,668.4491978609625
201706,20평 미만,219.88,39550,5,593.5737675095506
201706,20~30평,714.4960000000001,145250,9,670.8574995521317
201707,20평 미만,154.17000000000002,17800,3,381.00797820587655
201707,20~30평,459.5916,88100,6,632.5833631424072
201707,30~40평,204.5793,47000,2,758.1412195662024
201708,20평 미만,198.65,34150,4,567.3043040523534
201708,20~30평,764.6612,143300,9,618.4307507690987
201709,20평 미만,169.77,29350,3,570.5071567414738
201709,20~30평,476.12080000000003,99950,6,692.7548638916845
201709,30~40평,312.86580000000004,66750,3,704.0558603720827
201710,20평 미만,231.32,40900,4,583.4774338578592
201710,20~30평,976.6990000000001,175630,12,593.4059520896407
201710,30~40평,331.58140000000003,64800,3,644.9095154312032
201711,20평 미만,195.2,28750,4,486.0399590163935
201711,20~30평,306.3162,65800,4,708.8753386206802
201712,20평 미만,196.7,36250,4,608.1596339603458
201712,20~30평,676.9594000000001,116200,8,566.44460509744
201712,30~40평,104.2886,22700,1,718.295192379608
201801,20평 미만,249.42000000000002,51450,5,680.7192687033918
201801,20~30평,586.1226,101750,7,572.8750264876325
201802,20평 미만,381.56,49450,7,427.67847782786447
201802,20~30평,330.5884,55500,4,554.0121794957113
201802,30~40평,100.4125,26000,1,854.4752894310967
201803,20평 미만,344.86,67850,7,649.2634692338919
201803,20~30평,1002.1424000000001,192700,12,634.550538925406
201804,20평 미만,232.60000000000002,46900,4,665.3912295786757
201804,20~30평,737.4504000000001,140410,9,628.3175112522821
201804,30~40평,215.27249999999998,48500,2,743.4762916768282
201805,20평 미만,44.64,5500,1,406.5860215053763
201805,20~30평,569.9864,117650,7,681.1478308956143
201805,30~40평,204.7011,47500,2,765.7506481401418
201806,20평 미만,91.08,25000,2,905.7971014492754
201806,20~30평,249.28840000000002,40150,3,531.4928412232579
201806,30~40평,208.5772,45500,2,719.8773403804441
201807,20평 미만,93.69,25100,3,884.0858149215499
201807,20~30평,633.5858000000001,116350,8,606.0031648436565
201808,20평 미만,140.36,23000,3,540.7523510971786
201808,20~30평,850.7230000000001,167550,11,649.9354078824716
201808,30~40평,204.7011,49700,2,801.2169939487379
201809,20평 미만,198.47,40100,5,666.7506424144706
201809,20~30평,508.9684,105300,6,682.7339379026282
201809,30~40평,103.6728,23200,1,738.4772090654443
201810,20평 미만,225.39,35750,4,523.4260614934115
201810,20~30평,459.48740000000004,90900,6,652.8361822326357
201810,30~40평,307.9904,75200,3,805.7393996696
201811,20평 미만,93.69,26200,3,922.8306115914185
201811,20~30평,781.7266,151400,10,639.123703862706
201812,20평 미만,198.07,33600,4,559.8020901701419
201812,20~30평,509.625,108500,6,702.5754231052243
201812,30~40평,104.2886,22000,1,696.1451203679021
201901,20평 미만,144.7,22100,3,504.0082930200415
201901,20~30평,660.8862,127150,8,634.897505803571
201901,30~40평,104.2886,23200,1,734.1166723879695
201902,20평 미만,185.52,37900,4,674.1591203104786
201902,20~30평,514.0244,85900,7,551.4718756541517
201902,30~40평,103.6728,24200,1,770.3081232492998
201903,20평 미만,116.15,19200,2,545.5015066724063
201903,20~30평,860.9902,135700,11,520.1104495730613
201903,30~40평,308.3739,75600,3,809.0178838092329
201904,20평 미만,113.99000000000001,18500,2,535.5732959031494
201904,20~30평,648.0016,116980,8,595.7300105431838
201905,20평 미만,52.38,6800,1,428.4077892325314
201905,20~30평,718.5450000000001,132900,9,610.3584326660124
201905,30~40평,104.2886,23500,1,743.6095603929863
201906,20~30평,389.7632,65100,5,551.1808195335013
201906,30~40평,104.2886,21500,1,680.3236403595406
201907,20평 미만,234.47,51500,4,724.826203778735
201907,20~30평,809.1634,155900,10,635.804832497367
201908,20평 미만,15.07,5800,1,1270.0729927007299
201908,20~30평,492.45860000000005,87300,6,585.003490648757
201909,20평 미만,104.88,23800,2,748.8558352402746
201909,20~30평,416.45680000000004,69650,5,551.905984006024
201910,20평 미만,30.83,8900,1,952.6435290301655
201910,20~30평,245.6984,38200,3,513.0680541672228
201911,20평 미만,54.0,4300,1,262.77777777777777
201911,20~30평,323.1856,63900,4,652.4733775267215
201911,30~40평,104.2886,23600,1,746.7738563946587
201912,20평 미만,84.83,15150,2,589.3551809501355
201912,20~30평,864.5344,175300,11,669.1347388837274
202001,20평 미만,302.32,39550,6,431.7114315956602
202001,20~30평,337.7542,58150,4,568.1498557234817
202002,20평 미만,104.88,21200,2,667.0480549199085
202002,20~30평,756.0980000000001,163400,9,713.1615213900842
202002,30~40평,304.11429999999996,81400,3,883.2863170196206
202003,20~30평,323.0278,72000,4,735.5404085964118
202004,20평 미만,114.24000000000001,23200,2,670.1680672268907
202004,20~30평,672.2452000000001,120650,8,592.2615736043931
202004,30~40평,104.2886,23400,1,740.445264391314
202005,20평 미만,294.77,60400,5,676.1882145401499
202005,20~30평,777.134,143949,10,611.26099231278
202005,30~40평,409.4022,96200,4,775.4232879061226
202006,20평 미만,121.12,17100,3,465.9015852047555
202006,20~30평,544.5076,116400,7,705.4446990271578
202007,20평 미만,196.01,44900,4,755.9308198561298
202007,20~30평,1492.2912000000001,290100,19,641.5168835680328
202007,30~40평,104.2886,22800,1,721.4594883812804
202008,20평 미만,166.55,38100,4,754.9084359051335
202008,20~30평,707.1064,130700,9,609.9647804064565
202008,30~40평,208.5772,44900,2,710.3844523754274
202009,20평 미만,82.88,15700,2,625.1206563706564
202009,20~30평,422.6412,92100,5,719.1206157847364
202009,30~40평,104.2886,23700,1,749.9381523963309
202010,20평 미만,261.71,57200,5,721.2563524511864
202010,20~30평,977.4476000000001,214400,12,723.8444291029001
202010,30~40평,104.2886,22500,1,711.9666003762635
202011,20평 미만,44.64,5500,1,406.5860215053763
202011,20~30평,652.352,139760,8,706.9925439026783
202011,30~40평,304.4978,79100,3,857.2475728888681
202012,20평 미만,203.44,49600,4,804.5615414864333
202012,20~30평,1231.999,249300,15,667.7683991626616
202012,30~40평,227.9086,44500,2,644.337247475523
202101,20평 미만,337.47,62700,6,613.1211663258955
202101,20~30평,951.5592,206000,12,714.4064184340816
202102,20평 미만,270.67,45110,5,549.9796800532013
202102,20~30평,729.0932,143400,9,649.0528234250435
202102,30~40평,204.0853,53600,2,866.6964254652345
202103,20평 미만,408.56,75350,10,608.6131779909928
202103,20~30평,1339.4098000000001,247450,17,609.6603145654152
202103,30~40평,334.0086,67500,3,666.898996013875
202104,20평 미만,217.47,28700,4,435.5083459787557
202104,20~30평,424.971,86600,5,672.4694155601205
202104,30~40평,536.2497,122400,5,753.2311906188479
202105,20평 미만,175.65,38750,4,728.0102476515798
202105,20~30평,825.5238,179950,10,719.3432824105131
202105,30~40평,114.86,21500,1,617.7085147135643
202106,20평 미만,295.64,61200,6,683.1281288053037
202106,20~30평,161.3,22000,2,450.0929944203347
202106,30~40평,104.2886,23250,1,735.6988203888056
202107,20평 미만,144.18,23200,3,531.0029130253849
202107,20~30평,408.0756,91900,5,743.1711182927869
202108,20평 미만,350.91,69650,8,654.9970077797725
202108,20~30평,548.9944,118600,7,712.9034467382545
202108,30~40평,104.2886,24900,1,787.9097044163982
202109,20평 미만,191.43,31800,4,548.1899388810531
202109,20~30평,538.8916,126500,7,774.6455873500347
202109,30~40평,114.86,22500,1,646.4391433048929
202110,20평 미만,532.19,86224,11,534.6571713109979
202110,20~30평,313.6394,86600,4,911.1737874769559
202111,20평 미만,322.89,66900,7,683.7313016816873
202111,20~30평,382.35720000000003,68260,5,589.1297456932941
202111,30~40평,103.6728,26800,1,853.0685001273235
202112,20평 미만,173.75,32300,4,613.4676258992805
202112,20~30평,492.3304,106700,6,715.1904493405242
202201,20~30평,562.4874,125900,7,738.6298786426149
202202,20평 미만,84.08,16600,2,651.5223596574691
202202,20~30평,529.8934,128200,7,798.3869963279406
202203,20평 미만,150.11,39600,3,870.5615881686762
202203,20~30평,613.0028,133950,8,721.0978481664357
202203,30~40평,104.2886,27900,1,882.8385844665667
202204,20평 미만,176.39,47800,3,894.2683825613697
202204,20~30평,823.0254,183600,10,736.161970213799
202205,20평 미만,61.97,18400,2,979.8289494916895
202205,20~30평,415.6868,93000,5,738.2962364934368
202206,20평 미만,174.23000000000002,49100,3,929.9776157952132
202206,20~30평,562.9476,136680,7,801.2184437770052
202207,20~30평,246.4484,68400,3,915.8915213083144
202208,20평 미만,155.73,22800,3,483.1439029088807
202208,20~30평,204.609,59700,3,962.8608712226735
202208,30~40평,104.2886,29000,1,917.6458404849618
202209,20평 미만,116.13,15200,2,431.92973391888404
202209,20~30평,468.6744,98780,6,695.5233740097602
202209,30~40평,114.86,26000,1,746.9963433745428
202210,20평 미만,113.99000000000001,23100,2,668.7428721817703
202210,20~30평,334.1262,73300,4,723.9480172461782
202211,20평 미만,52.05,8200,1,519.8847262247839
202211,20~30평,228.9072,48800,3,703.5165342112437
202212,20평 미만,166.1,32770,4,651.0596026490066
202212,20~30평,323.1074,82300,4,840.5564217965915
202301,20평 미만,98.46000000000001,16000,2,536.2583790371724
202301,20~30평,223.65300000000002,47300,3,697.9114968276749
202302,20평 미만,92.27000000000001,29850,2,1067.5734258155412
202302,20~30평,221.4002,62500,3,931.5709741906286
202302,30~40평,334.5472,75300,3,742.7651464427142
202303,20평 미만,220.62,43500,4,650.6663040522164
202303,20~30평,322.97720000000004,84500,4,863.3736375199239
202304,20평 미만,175.28,33900,3,638.2359653126425
202304,20~30평,501.34680000000003,119450,6,786.2521512055127
202305,20평 미만,284.76,40100,5,464.7071217867678
202305,20~30평,323.0032,80700,4,824.480995853911
202306,20평 미만,259.02,35600,5,453.55570998378505
202306,20~30평,393.7456,90300,5,756.8084570341865
202307,20~30평,289.525,79600,4,907.2791641481738
202308,20평 미만,197.2,38000,4,635.9026369168357
202308,20~30평,399.4372,111800,5,923.6495749519573
202308,30~40평,205.5786,49700,2,797.7970469688966
202309,20~30평,153.1972,40700,2,876.7131514152999
202309,30~40평,103.2893,37500,1,1198.0911865991927
202310,20평 미만,112.37,20600,2,604.9657381863485
202310,20~30평,390.9028,107400,5,906.6704050214016
202311,20~30평,552.7646,148500,7,886.5437475554693
202312,20~30평,414.12260000000003,95200,5,758.6159267811029
202401,20평 미만,110.16,17300,2,518.2461873638345
202401,20~30평,406.06140000000005,82800,5,672.9031619356086
202402,20평 미만,112.62,29300,2,858.5508790623335
202402,20~30평,254.8248,75000,3,971.2555449862023
202402,30~40평,208.5772,51500,2,814.8062204306127
202403,20평 미만,49.68,7300,1,484.90338164251204
202403,20~30평,222.54420000000002,41200,3,610.9348165443089
202404,20평 미만,59.99,16800,1,924.1540256709451
202404,20~30평,480.5902,86350,6,592.9271966011792
